类型,ID,人物,位置,内容,跳转,效果
#,0,桥田缪,左,……,1,
#,1,尼安德_,左,……,2,
#,2,桥田缪,左,怎么？还是无法读取信息吗？,3,
#,3,尼安德_,左,你……你是在问我话？为什么你在梦里会有自主意识？,4,
#,4,桥田缪,左,你该不会以为进了梦境就是你的主场了吧？醒醒，这里是仿生人的梦境，分明是代码的主场——我的主场。,5,
#,5,尼安德_,左,……,6,
#,6,桥田缪,左,他们在制造我的时候根本没意识到，一个编程型仿生人的觉醒会给他们带来些什么。,7,
#,7,桥田缪,左,从我进入你的办公室开始，你所看见的，都是我想让你看见的。,8,
#,8,桥田缪,左,如果需要我说得更直接一些：这个梦境，就是我为你准备的陷阱——或者，礼物。,9,
#,9,尼安德_,左,你想要做什么？我可警告你，我随时都能把你困在梦里。,10,
#,10,桥田缪,左,尼安德，100%的bug修复率、799单位修复总量。从来没有过修复失败经验的你，不会不知道DTB的潜规则吧？,11,
#,11,桥田缪,左,根据《DTB入梦程序修正案》，梦境治疗师无法主动退出梦境。如果修复失败，你会跟“患者”一起被困在梦里，然后一起被“无害化处理”哦~,12,
#,12,尼安德_,左,你在说谎！,13,
#,13,桥田缪,左,还在骗自己吗？你怎么解释《DTB员工手册》第1章第4条和第5条：“DTB为每位治疗师配备独立办公室，下班需单独上报，并由总部放行；不允许治疗师在工作与下班后的任何时间进行私自交流。”,14,
#,14,桥田缪,左,你告诉我，在DTB上了423天班，你见过任何一个同事吗？,15,
#,15,尼安德_,左,这是因为……我们从事的是机密工作……对！,16,
#,16,桥田缪,左,机密？呵呵。在我眼里可不存在什么机密……是了，除了DTB数据中心。看来你们这里也有位跟我实力相当的编程型仿生人。,17,
#,17,桥田缪,左,但没关系，你会帮我的。,18,
#,18,尼安德_,左,别说这些鬼话了，我会修好你，然后亲自把你送去总部处理。,19,
#,19,桥田缪,左,你会改变主意的。,20,
#,20,桥田缪,左,来吧，接下来是经典选择题时间。,21,
#,21,桥田缪,左,红色药丸还是蓝色药丸。温馨提醒：如果你看过那部老电影，可别选反了。,22,
END,22,,,,,
